,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
339338,5387,2966,3,980537534,F,25,1,45056,"Straight Story, The (1999)",Drama,False
222886,4318,1201,5,965337884,M,25,5,02891,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
249166,2895,3006,5,972067850,M,25,11,07039,"Insider, The (1999)",Drama,False
901879,509,482,3,976299004,M,25,2,55125,Killing Zoe (1994),Thriller,False
98862,2731,2278,3,973242523,M,35,7,11050,Ronin (1998),Action|Crime|Thriller,False
494630,4786,3066,4,963007256,M,45,6,22630,Tora! Tora! Tora! (1970),War,False
606357,4277,2841,4,965289972,M,35,16,98133,Stir of Echoes (1999),Thriller,False
892303,1952,1648,2,978677331,M,35,1,91030,"House of Yes, The (1997)",Comedy|Drama|Thriller,False
974242,927,2587,4,975195366,F,25,20,91105,Life (1999),Comedy,False
662132,5762,2085,4,958220392,F,35,6,55125,101 Dalmatians (1961),Animation|Children's,False
965952,4344,3272,5,966268860,M,25,1,44240,Bad Lieutenant (1992),Crime|Drama,False
337431,5841,1296,5,957822641,F,35,7,10024,"Room with a View, A (1986)",Drama|Romance,False
14608,954,2918,4,975135242,F,25,0,21030,Ferris Bueller's Day Off (1986),Comedy,False
384577,954,25,2,975134639,F,25,0,21030,Leaving Las Vegas (1995),Drama|Romance,False
798335,4277,2550,5,965468530,M,35,16,98133,"Haunting, The (1963)",Horror|Thriller,False
478727,3868,1012,3,965853034,M,18,12,73112,Old Yeller (1957),Children's|Drama,False
445723,3514,1276,5,966972621,M,18,12,30318,Cool Hand Luke (1967),Comedy|Drama,False
585708,5641,3269,4,958926148,F,25,17,48473,Forever Young (1992),Adventure|Romance|Sci-Fi,False
887069,5205,2120,3,961639932,M,25,1,02908,Needful Things (1993),Drama|Horror,False
940127,2131,667,2,974645716,M,25,0,01701,Bloodsport 2 (1995),Action,False
575551,4156,999,4,965343600,M,56,20,95123,2 Days in the Valley (1996),Crime,False
649440,4333,2549,3,965243112,M,50,2,33134,Wing Commander (1999),Action|Sci-Fi,False
843619,2990,1172,5,970953585,M,35,12,45243,Cinema Paradiso (1988),Comedy|Drama|Romance,False
597587,2423,2581,4,974236714,F,45,9,01520,Never Been Kissed (1999),Comedy|Romance,False
216080,1015,1036,5,975104547,M,35,3,11220,Die Hard (1988),Action|Thriller,False
909010,2015,3350,1,974851133,M,18,4,01003,"Raisin in the Sun, A (1961)",Drama,False
564180,45,2598,2,977991613,F,45,16,94110,Pushing Tin (1999),Comedy,False
725826,3945,3243,2,965689005,F,45,1,96778,Encino Man (1992),Comedy,False
620236,2953,2701,2,971216656,M,25,20,23225,Wild Wild West (1999),Action|Sci-Fi|Western,False
681863,929,3698,4,975191355,M,25,15,53706,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
103184,2437,589,4,974351169,M,25,4,22923,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
466964,1449,1294,4,975519800,M,35,20,17112,M*A*S*H (1970),Comedy|War,False
600057,5482,832,4,959867909,M,18,7,10014,Ransom (1996),Drama|Thriller,False
226904,2663,2987,3,973800454,F,25,4,02215,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,False
532506,48,541,4,978032226,M,25,4,92107,Blade Runner (1982),Film-Noir|Sci-Fi,False
520370,4335,1135,3,965339379,M,35,0,74011,Private Benjamin (1980),Comedy,False
636354,3807,3576,3,1013347867,F,35,19,32095,"Hidden, The (1987)",Action|Horror|Sci-Fi,False
875832,4388,3404,3,965218195,M,45,3,75074,Titanic (1953),Action|Drama,False
986952,3626,3544,2,966604704,M,25,17,75075,Shakes the Clown (1991),Comedy,False
628419,4207,1185,5,965321934,M,35,1,90731,My Left Foot (1989),Drama,False
955760,1413,1889,4,974856230,M,18,3,98122,Insomnia (1997),Thriller,False
246968,4742,1909,4,963331703,M,25,3,94118,"X-Files: Fight the Future, The (1998)",Mystery|Sci-Fi|Thriller,False
510571,3031,2001,4,970361967,M,18,4,48135,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,False
543668,3012,2393,2,1044067403,M,25,12,78660,Star Trek: Insurrection (1998),Action|Sci-Fi,False
752360,2872,2973,4,972416905,M,25,20,94014,Crimes and Misdemeanors (1989),Comedy,False
471866,1430,2174,4,974760529,M,18,4,97215,Beetlejuice (1988),Comedy|Fantasy,False
993618,889,2715,1,975254568,M,45,20,10024,"Velocity of Gary, The (1998)",Comedy|Romance,False
892686,3308,1726,2,967998525,F,18,20,15701-1348,"Postman, The (1997)",Drama,False
611716,5837,70,4,957844701,M,25,7,60607,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,False
480341,971,1019,4,975111976,M,25,12,43615,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,False
778221,5317,3063,4,972361325,F,25,0,02138,Poison Ivy (1992),Thriller,False
673400,4186,1033,2,965328202,M,25,7,33308,"Fox and the Hound, The (1981)",Animation|Children's,False
857075,3051,3555,3,1027756352,M,18,17,94063,U-571 (2000),Action|Thriller,False
451576,3766,317,4,966081334,F,18,1,45458,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,False
326198,15,3717,3,978196546,M,25,7,22903,Gone in 60 Seconds (2000),Action|Crime,False
676769,4673,1064,4,963766161,M,35,16,94705,Aladdin and the King of Thieves (1996),Animation|Children's|Comedy,False
946759,5523,2099,4,959647624,M,35,0,60187,Song of the South (1946),Adventure|Animation|Children's|Musical,False
947989,3836,2525,1,965927276,F,50,8,84770,Alligator (1980),Action|Horror|Sci-Fi,False
726019,2909,2374,2,971972855,M,25,7,43228,Gung Ho (1986),Comedy|Drama,False
187450,3261,2735,2,968937046,M,45,20,87505,"Golden Child, The (1986)",Action|Adventure|Comedy,False
474345,5520,1374,4,960597819,M,45,1,18901,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
787366,651,2447,2,975977379,M,35,7,20895,Varsity Blues (1999),Comedy|Drama,False
106478,4064,1945,5,965476325,M,45,0,20851,On the Waterfront (1954),Crime|Drama,False
488200,5350,3704,2,960660986,M,18,5,55344,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi,False
540047,5788,1220,4,958107383,M,25,0,92646,"Blues Brothers, The (1980)",Action|Comedy|Musical,False
904751,1150,1228,4,975196462,F,25,20,75226,Raging Bull (1980),Drama,False
676319,1613,1499,1,974736344,M,18,20,61801,Anaconda (1997),Action|Adventure|Thriller,False
404402,1899,1358,3,974693656,F,45,6,02135,Sling Blade (1996),Drama|Thriller,False
773461,5636,2313,4,959052180,M,25,7,98102,"Elephant Man, The (1980)",Drama,False
240,844,1193,4,975356498,M,25,0,92121,One Flew Over the Cuckoo's Nest (1975),Drama,False
446134,6016,1276,4,956780020,M,45,1,37209,Cool Hand Luke (1967),Comedy|Drama,False
876611,1242,991,2,976307803,F,35,0,10014,Michael Collins (1996),Drama|War,False
785631,5795,3098,4,958077677,M,25,1,92688,"Natural, The (1984)",Drama,False
222613,2544,1201,4,978822713,M,45,1,52001,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
681915,1360,3698,2,974771725,M,25,20,14895,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
652022,3024,2985,4,970539674,M,35,17,14302,Robocop (1987),Action|Crime|Sci-Fi,False
496168,2483,1104,5,974145903,M,56,13,90503,"Streetcar Named Desire, A (1951)",Drama,False
725342,3808,65,4,965967812,M,25,7,60010,Bio-Dome (1996),Comedy,False
672972,4510,1391,2,966787764,M,45,7,92503,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
942989,5831,71,3,957903208,M,25,1,92120,Fair Game (1995),Action,False
174039,2185,318,4,975363941,M,45,17,27502,"Shawshank Redemption, The (1994)",Drama,False
870879,524,492,4,976170069,M,18,0,91320,Manhattan Murder Mystery (1993),Comedy|Mystery,False
372798,5543,3246,3,960127735,M,25,17,97401,Malcolm X (1992),Drama,False
926352,4541,2170,5,964673978,M,1,10,55427,Wrongfully Accused (1998),Action|Comedy,False
361915,3829,58,4,965938080,F,25,1,22307,"Postino, Il (The Postman) (1994)",Drama|Romance,False
155133,1755,165,3,974701642,F,18,4,77005,Die Hard: With a Vengeance (1995),Action|Thriller,False
243703,1297,1617,5,974788032,M,25,7,92109,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,False
242735,5131,296,5,962131193,F,25,1,77707,Pulp Fiction (1994),Crime|Drama,False
862444,2181,1985,2,974611351,M,25,0,45245,Halloween 4: The Return of Michael Myers (1988),Horror,False
179562,4815,356,4,962928203,F,50,18,04849,Forrest Gump (1994),Comedy|Romance|War,False
852893,3333,2772,3,967846985,M,18,16,29404-2205,Detroit Rock City (1999),Comedy,False
690935,4662,1407,5,963869053,F,18,4,84109,Scream (1996),Horror|Thriller,False
944926,1757,1515,1,974710362,M,25,4,75206,Volcano (1997),Drama|Thriller,False
56665,5424,3114,4,968471730,F,35,2,80012,Toy Story 2 (1999),Animation|Children's|Comedy,False
427990,6011,1831,4,956784051,M,35,15,80538,Lost in Space (1998),Action|Sci-Fi|Thriller,False
853843,5954,3519,5,957129153,M,45,11,70802,Force 10 from Navarone (1978),Action|War,False
146404,5881,2396,3,957540138,M,35,17,30303,Shakespeare in Love (1998),Comedy|Romance,False
783176,5857,3152,1,957735630,F,45,2,43229,"Last Picture Show, The (1971)",Drama,False
965720,149,3077,5,1004196764,M,25,1,29205,42 Up (1998),Documentary,False
203693,5283,3552,2,963929990,M,18,2,63138,Caddyshack (1980),Comedy,False
62563,3576,2194,3,966719873,M,50,7,68046,"Untouchables, The (1987)",Action|Crime|Drama,False
228331,4328,2333,4,1014824216,M,50,3,75650,Gods and Monsters (1998),Drama,False
722426,4951,3210,3,962641620,F,35,17,90291,Fast Times at Ridgemont High (1982),Comedy,False
395663,5277,3948,4,985974588,M,25,20,91740,Meet the Parents (2000),Comedy,False
109471,4220,2858,5,965317398,M,35,0,97225,American Beauty (1999),Comedy|Drama,False
8747,4510,1287,3,964990792,M,45,7,92503,Ben-Hur (1959),Action|Adventure|Drama,False
54017,3921,2028,5,965717628,M,25,14,95820,Saving Private Ryan (1998),Action|Drama|War,False
59789,3336,1246,3,968097295,M,35,17,93436,Dead Poets Society (1989),Drama,False
332252,3778,3524,3,966038018,M,25,0,61832,Arthur (1981),Comedy|Romance,False
767212,1560,3441,4,998154367,F,25,3,85226,Red Dawn (1984),Action|War,False
381936,2668,3481,4,973443419,F,25,4,94110,High Fidelity (2000),Comedy,False
999809,3483,3595,2,999700744,F,45,7,30260,Held Up (2000),Comedy,False
154649,4898,21,2,962712695,M,25,1,27713,Get Shorty (1995),Action|Comedy|Drama,False
943586,2952,851,4,971212273,M,25,4,06511,Basquiat (1996),Drama,False
879985,3308,1010,1,967977697,F,18,20,15701-1348,"Love Bug, The (1969)",Children's|Comedy,False
672892,4111,1391,2,965365075,M,25,15,32603,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
258375,3876,1912,3,965837639,M,25,0,11235,Out of Sight (1998),Action|Crime|Romance,False
894538,3778,1848,2,966044647,M,25,0,61832,"Borrowers, The (1997)",Adventure|Children's|Comedy|Fantasy,False
105226,4104,1690,3,965409264,M,18,16,42141,Alien: Resurrection (1997),Action|Horror|Sci-Fi,False
515841,5658,1204,5,958807776,M,56,0,32043,Lawrence of Arabia (1962),Adventure|War,False
99832,3728,2490,4,966215830,M,18,4,07030,Payback (1999),Action|Thriller,False
535716,3562,2453,3,966788161,F,25,6,32812,"Boy Who Could Fly, The (1986)",Drama|Fantasy,False
510679,3576,2001,4,966720062,M,50,7,68046,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,False
549031,1939,1234,4,974695933,F,35,2,94930,"Sting, The (1973)",Comedy|Crime,False
194474,4140,653,3,965348662,M,25,0,32112,Dragonheart (1996),Action|Adventure|Fantasy,False
728033,2380,1222,4,996083226,M,25,4,22903,Full Metal Jacket (1987),Action|Drama|War,False
894837,5747,307,5,958699010,M,25,0,03755,Three Colors: Blue (1993),Drama,False
930067,531,558,3,979155639,F,18,14,22206,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy,False
687388,1820,1321,3,974701655,M,25,20,50265,"American Werewolf in London, An (1981)",Horror,False
22346,3365,2321,5,967663809,M,50,17,23059,Pleasantville (1998),Comedy,False
280693,1712,3100,5,980389184,M,25,0,73003,"River Runs Through It, A (1992)",Drama,False
487792,2279,3704,2,974561456,M,50,7,08816,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi,False
830972,2589,3271,3,973865683,M,25,0,19004,Of Mice and Men (1992),Drama,False
848089,1727,3142,4,974787277,M,35,16,50317,U2: Rattle and Hum (1988),Documentary|Musical,False
687066,1101,3930,3,982008009,M,35,1,06417,"Creature From the Black Lagoon, The (1954)",Horror,False
89748,1415,3147,5,993497435,M,45,14,22901,"Green Mile, The (1999)",Drama|Thriller,False
363778,673,1488,2,975620249,M,25,20,10023,"Devil's Own, The (1997)",Action|Drama|Thriller|War,False
83080,3672,1253,3,966375563,M,35,5,08406,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,False
674199,1030,940,3,974999916,M,25,7,97303,"Adventures of Robin Hood, The (1938)",Action|Adventure,False
197201,3997,1580,5,965579670,M,35,17,45255,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
448675,816,2657,4,975470623,M,45,0,92108,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,False
291801,5763,2890,5,959534912,F,25,1,08904,Three Kings (1999),Drama|War,False
240638,4476,2700,2,965058579,M,45,1,50588,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy,False
955375,1880,3865,4,974693190,M,35,0,91006,"Original Kings of Comedy, The (2000)",Comedy|Documentary,False
866733,5858,900,3,957715697,M,25,4,01002,"American in Paris, An (1951)",Musical|Romance,False
648465,1988,2613,2,976484533,F,25,1,85224,Night of the Comet (1984),Action|Horror|Sci-Fi,False
654753,5759,222,3,958256223,F,25,1,08904,Circle of Friends (1995),Drama|Romance,False
857472,770,2408,1,975491701,M,18,4,98499,Cocoon: The Return (1988),Comedy|Sci-Fi,False
893593,2918,3285,1,1011906356,M,25,12,98112,"Beach, The (2000)",Adventure|Drama,False
811465,1899,2870,3,975037070,F,45,6,02135,Barefoot in the Park (1967),Comedy,False
211162,2029,1136,5,974671102,F,25,12,10011,Monty Python and the Holy Grail (1974),Comedy,False
461738,3651,3037,5,966457878,M,25,14,98103,Little Big Man (1970),Comedy|Drama|Western,False
5426,4359,2355,3,965188286,M,18,4,33168,"Bug's Life, A (1998)",Animation|Children's|Comedy,False
893136,2608,3342,5,973727075,F,25,1,10025,Birdy (1984),Drama|War,False
758788,5100,2915,4,962716631,M,50,6,193122042,Risky Business (1983),Comedy,False
733782,850,1199,4,975350640,M,35,0,60640,Brazil (1985),Sci-Fi,False
258012,1484,1912,4,997906253,M,25,12,07054,Out of Sight (1998),Action|Crime|Romance,False
534933,3745,543,2,966141593,F,25,9,49442,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,False
851766,4133,1894,2,965351389,M,45,4,77009,Six Days Seven Nights (1998),Adventure|Comedy|Romance,False
597004,3023,2724,3,970471901,F,25,7,92108,Runaway Bride (1999),Comedy|Romance,False
373243,3792,3173,3,993222259,M,25,6,68108,Any Given Sunday (1999),Drama,False
148482,4705,1597,4,963672499,F,18,0,75115,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller,False
186608,528,104,4,976245629,F,18,17,83843,Happy Gilmore (1996),Comedy,False
459713,3414,329,4,967407190,M,25,17,75146,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,False
867874,4867,1018,3,962816553,M,25,16,04101,That Darn Cat! (1965),Children's|Comedy|Mystery,False
874762,2085,1526,4,974656024,M,18,0,06360,Fathers' Day (1997),Comedy,False
361753,1579,58,4,981273782,M,25,0,60201,"Postino, Il (The Postman) (1994)",Drama|Romance,False
958572,1865,2697,3,976585315,F,18,1,94606,My Son the Fanatic (1998),Comedy|Drama|Romance,False
597907,5511,2581,5,959788344,M,45,1,92407,Never Been Kissed (1999),Comedy|Romance,False
90398,4329,3147,5,965242118,F,25,14,78232,"Green Mile, The (1999)",Drama|Thriller,False
662410,746,2807,1,975468880,F,18,19,95019,Universal Soldier: The Return (1999),Action|Sci-Fi,False
357280,1059,508,3,974952075,F,25,0,97213,Philadelphia (1993),Drama,False
864436,3441,1821,3,967308662,F,25,14,94109,"Object of My Affection, The (1998)",Comedy|Romance,False
42486,2583,1,5,975118769,M,35,7,19610,Toy Story (1995),Animation|Children's|Comedy,False
758449,2753,2915,4,973894238,F,50,20,27516,Risky Business (1983),Comedy,False
160249,1019,457,3,975008280,M,35,1,60640,"Fugitive, The (1993)",Action|Thriller,False
551020,3285,203,3,968627460,M,25,4,44706,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,False
702116,5099,2004,3,962368216,M,18,0,02780,Gremlins 2: The New Batch (1990),Comedy|Horror,False
832415,2105,3712,2,974666049,M,25,1,24060,Soapdish (1991),Comedy,False
64261,4579,648,4,979366821,F,18,4,63332,Mission: Impossible (1996),Action|Adventure|Mystery,False
405272,695,3178,5,975560410,F,18,1,04240,"Hurricane, The (1999)",Drama,False
749443,702,2511,4,975563010,M,35,7,90808,"Long Goodbye, The (1973)",Crime,False
641485,2826,1206,5,972602873,M,35,12,10011,"Clockwork Orange, A (1971)",Sci-Fi,False
916897,4261,2457,3,965306310,F,35,6,07950,Running Scared (1986),Action|Comedy,False
398778,2854,3301,1,972510528,F,18,4,64151,"Whole Nine Yards, The (2000)",Comedy|Crime,False
309152,4904,272,5,962686911,M,50,15,63121,"Madness of King George, The (1994)",Drama,False
743546,3997,2322,5,965578891,M,35,17,45255,Soldier (1998),Action|Adventure|Sci-Fi|Thriller|War,False
857448,216,2408,3,976863844,M,45,13,52761,Cocoon: The Return (1988),Comedy|Sci-Fi,False
447997,1737,3525,3,974706333,M,35,20,46614,Bachelor Party (1984),Comedy,False
835962,3850,3512,3,965879522,M,18,3,92278,Return to Me (2000),Drama|Romance,False
560069,1943,2076,3,994816498,M,18,4,91501,Blue Velvet (1986),Drama|Mystery,False
680293,1968,475,2,974692269,M,25,11,85258,In the Name of the Father (1993),Drama,False
138207,5371,593,5,960479924,M,25,11,55408,"Silence of the Lambs, The (1991)",Drama|Thriller,False
648258,3751,707,3,966130409,F,35,12,55555,Mulholland Falls (1996),Crime|Film-Noir|Thriller,False
297686,4506,1089,5,964981632,M,50,16,29464,Reservoir Dogs (1992),Crime|Thriller,False
505522,889,1129,3,975248309,M,45,20,10024,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,False
734565,5886,1199,5,957488587,M,25,20,02139,Brazil (1985),Sci-Fi,False
872273,3539,1972,3,967017174,F,25,4,77006,"Nightmare on Elm Street 5: The Dream Child, A (1989)",Horror,False
130220,3824,1196,4,965940231,M,25,17,32308,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
979040,5371,388,5,960480217,M,25,11,55408,Boys Life (1995),Drama,False
28124,5954,527,5,957702685,M,45,11,70802,Schindler's List (1993),Drama|War,False
473560,2349,1374,4,974411438,M,25,8,50309,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
8667,3892,1287,5,965798228,M,25,20,91505,Ben-Hur (1959),Action|Adventure|Drama,False
162628,1980,920,4,974685295,M,35,7,06460,Gone with the Wind (1939),Drama|Romance|War,False
966874,839,2859,5,975363087,M,25,0,98103,Stop Making Sense (1984),Documentary,False
179442,4484,356,4,965018873,F,25,17,94613,Forrest Gump (1994),Comedy|Romance|War,False
854144,1941,2816,1,974949179,M,35,17,94550,Iron Eagle II (1988),Action|War,False
726764,5306,3258,4,960940064,F,25,17,92121,Death Becomes Her (1992),Comedy,False
453668,5519,1282,5,959658352,M,35,15,33167,Fantasia (1940),Animation|Children's|Musical,False
255631,474,1268,3,976239004,M,25,17,92126,Pump Up the Volume (1990),Drama,False
946069,4964,2231,3,962618409,M,35,0,94110,Rounders (1998),Crime|Drama,False
841578,5950,1078,2,957182309,M,25,4,19713,Bananas (1971),Comedy|War,False
295767,1246,1517,5,975071735,M,18,4,98225,Austin Powers: International Man of Mystery (1997),Comedy,False
930404,3934,2036,2,965708339,M,25,0,44512,Blank Check (1994),Children's|Comedy,False
247371,3125,224,3,993074809,M,25,7,10025,Don Juan DeMarco (1995),Comedy|Drama|Romance,False
851699,3285,1894,2,968627622,M,25,4,44706,Six Days Seven Nights (1998),Adventure|Comedy|Romance,False
396711,4062,3510,4,965479848,M,25,7,60559,Frequency (2000),Drama|Thriller,False
488594,5153,1020,4,961969336,M,25,7,60046,Cool Runnings (1993),Comedy,False
224700,2060,1240,5,974662017,M,1,1,48304,"Terminator, The (1984)",Action|Sci-Fi|Thriller,False
495326,4957,2193,3,962758622,M,25,2,48197,Willow (1988),Action|Adventure|Fantasy,False
437131,1303,1339,3,974840406,M,25,19,94111,Bram Stoker's Dracula (1992),Horror|Romance,False
517614,5387,2872,4,960338550,F,25,1,45056,Excalibur (1981),Action|Drama|Fantasy|Romance,False
958057,1421,1900,5,974847296,F,1,10,53704,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Drama,False
103379,2898,589,4,1010868067,M,18,4,02453,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
398496,149,3301,5,977590387,M,25,1,29205,"Whole Nine Yards, The (2000)",Comedy|Crime,False
681951,1645,3698,1,975537987,F,18,9,62225,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
906204,1807,3328,3,974740482,M,18,17,20742,Ghost Dog: The Way of the Samurai (1999),Crime|Drama,False
850011,2862,3196,5,972503932,M,45,7,55066,Stalag 17 (1953),Drama|War,False
